total samples: 5851

== by library ==
  48.4%  libnvidia-eglcore.so.610.57.04
  19.4%  Hyprland
  12.6%  libc.so.6
   3.9%  libaquamarine.so.0.15.0
   3.1%  libhyprutils.so.0.14.1
   2.8%  libwayland-server.so.0.26.0
   1.9%  libpixman-1.so.0.46.4
   1.8%  libEGL_nvidia.so.610.57.04
   1.7%  libnvidia-glsi.so.610.57.04
   1.3%  libstdc++.so.6.0.36
   0.6%  libGLESv2.so.2.1.0
   0.6%  libffi.so.8.5.0
   0.5%  libm.so.6
   0.3%  libdrm.so.2.134.0
   0.3%  ld-linux-x86-64.so.2

== by function (self) ==
  22.7%  libnvidia-eglcore.so.610.57.04 NvGlEglGetFunctions
   4.9%  libnvidia-eglcore.so.610.57.04 _glDeterministicTPCModeDistParams
   1.7%  libc.so.6                    pthread_mutex_trylock@GLIBC_2.2.5
   1.7%  libc.so.6                    pthread_mutex_init@@GLIBC_2.2.5
   1.5%  libEGL_nvidia.so.610.57.04   NvEglwlaf47906in
   1.5%  libc.so.6                    memcpy@GLIBC_2.2.5
   0.8%  libc.so.6                    sem_trywait@GLIBC_2.2.5
   0.6%  libc.so.6                    pthread_mutex_lock@@GLIBC_2.2.5
   0.6%  libwayland-server.so.0.26.0  wl_client_destroy
   0.6%  libc.so.6                    malloc@@GLIBC_2.2.5
   0.6%  libc.so.6                    __default_morecore@GLIBC_2.2.5
   0.5%  Hyprland                     CConfigValue<long>::operator*() const
   0.5%  libc.so.6                    pthread_self@@GLIBC_2.2.5
   0.5%  libhyprutils.so.0.14.1       Hyprutils::Signal::CSignalBase::emitInternal(void*)
   0.5%  Hyprland                     Render::GL::CHyprOpenGLImpl::renderToFBInternal(Hyprutils::Memory::CSharedPointer<Render::ITexture>, Render::G
   0.4%  libc.so.6                    ioctl@@GLIBC_2.2.5
   0.4%  libnvidia-eglcore.so.610.57.04 +0x708861
   0.4%  libaquamarine.so.0.15.0      Aquamarine::CDRMOutput::commitState(bool)
   0.4%  libc.so.6                    free@@GLIBC_2.2.5
   0.4%  libpixman-1.so.0.46.4        pixman_image_set_clip_region32
   0.4%  libc.so.6                    pthread_mutex_unlock@@GLIBC_2.2.5
   0.4%  Hyprland                     Render::IHyprRenderer::renderLayer(Hyprutils::Memory::CSharedPointer<Desktop::View::CLayerSurface>, Hyprutils:
   0.4%  libpixman-1.so.0.46.4        pixman_region32_fini
   0.4%  Hyprland                     Render::GL::CHyprGLRenderer::endRender(std::function<void ()> const&)
   0.3%  ld-linux-x86-64.so.2         __tls_get_addr@@GLIBC_2.3
   0.3%  libpixman-1.so.0.46.4        pixman_region32_copy
   0.3%  Hyprland                     Render::IElementRenderer::drawSurface(Hyprutils::Memory::CWeakPointer<CSurfacePassElement>, Hyprutils::Math::C
   0.3%  Hyprland                     Fullscreen::CFullscreenController::getFsHandlersForWorkspace(Hyprutils::Memory::CSharedPointer<CWorkspace>) co
   0.3%  libstdc++.so.6.0.36          __dynamic_cast@@CXXABI_1.3
   0.3%  Hyprland                     CDRMSyncobjTimelineResource::fromResource(wl_resource*)
   0.3%  libwayland-server.so.0.26.0  wl_list_empty
   0.3%  libm.so.6                    powf64@@GLIBC_2.27
   0.3%  libc.so.6                    pthread_equal@@GLIBC_2.2.5
   0.2%  libstdc++.so.6.0.36          operator new(unsigned long)@@GLIBCXX_3.4
   0.2%  libhyprutils.so.0.14.1       Hyprutils::Math::CRegion::~CRegion()
   0.2%  Hyprland                     Render::IHyprRenderer::renderMonitor(Hyprutils::Memory::CSharedPointer<Monitor::CMonitor>, bool)
   0.2%  libc.so.6                    fallocate@@GLIBC_2.10
   0.2%  Hyprland                     Render::GL::CGLTexture::setTexParameter(unsigned int, int)
   0.2%  libc.so.6                    pthread_rwlock_unlock@GLIBC_2.2.5
   0.2%  libnvidia-glsi.so.610.57.04  _nv006glsi
   0.2%  Hyprland                     Monitor::CMonitor::useFP16()
   0.2%  libnvidia-eglcore.so.610.57.04 +0x6da1ee
   0.2%  libwayland-server.so.0.26.0  wl_event_loop_dispatch
   0.2%  Hyprland                     Render::GL::CHyprOpenGLImpl::getShaderVariant(Render::ePreparedFragmentShader, unsigned short)
   0.2%  Hyprland                     Render::GL::CHyprOpenGLImpl::renderTextureInternal(Hyprutils::Memory::CSharedPointer<Render::ITexture>, Hyprut
